id,Sequence,n_bins,eps,alpha,sigma,n_frames,n_failures,time,error
1,ball1,3,1e-10,0,0.1,603,1,3.551021,0
2,ball1,3,1e-10,0,0.2,603,1,4.598595,0
3,ball1,3,1e-10,0,0.4,603,0,4.377127,0
4,ball1,3,1e-10,0.001,0.1,603,0,4.534582,0
5,ball1,3,1e-10,0.001,0.2,603,1,6.465873,0
6,ball1,3,1e-10,0.001,0.4,603,0,3.899752,0
7,ball1,3,1e-10,0.01,0.1,603,0,4.60769,0
8,ball1,3,1e-10,0.01,0.2,603,1,7.677522,0
9,ball1,3,1e-10,0.01,0.4,603,0,3.838799,0
10,ball1,3,1e-07,0,0.1,603,1,3.59653,0
11,ball1,3,1e-07,0,0.2,603,0,3.927419,0
12,ball1,3,1e-07,0,0.4,603,0,4.548319,0
13,ball1,3,1e-07,0.001,0.1,603,0,4.34555,0
14,ball1,3,1e-07,0.001,0.2,603,0,5.896571,0
15,ball1,3,1e-07,0.001,0.4,603,0,4.941849,0
16,ball1,3,1e-07,0.01,0.1,603,0,4.988825,0
17,ball1,3,1e-07,0.01,0.2,603,1,6.325525,0
18,ball1,3,1e-07,0.01,0.4,603,1,3.952315,0
19,ball1,3,0.0001,0,0.1,603,0,4.851707,0
20,ball1,3,0.0001,0,0.2,603,0,4.117604,0
21,ball1,3,0.0001,0,0.4,603,0,5.062935,0
22,ball1,3,0.0001,0.001,0.1,603,1,4.57822,0
23,ball1,3,0.0001,0.001,0.2,603,0,4.829563,0
24,ball1,3,0.0001,0.001,0.4,603,0,4.649522,0
25,ball1,3,0.0001,0.01,0.1,603,1,4.381361,0
26,ball1,3,0.0001,0.01,0.2,603,1,6.086483,0
27,ball1,3,0.0001,0.01,0.4,603,0,4.943202,0
28,ball1,7,1e-10,0,0.1,603,0,4.794055,0
29,ball1,7,1e-10,0,0.2,603,1,4.798047,0
30,ball1,7,1e-10,0,0.4,0,0,0,1
31,ball1,7,1e-10,0.001,0.1,0,0,0,1
32,ball1,7,1e-10,0.001,0.2,0,0,0,1
33,ball1,7,1e-10,0.001,0.4,0,0,0,1
34,ball1,7,1e-10,0.01,0.1,603,10,5.465966,0
35,ball1,7,1e-10,0.01,0.2,0,0,0,1
36,ball1,7,1e-10,0.01,0.4,0,0,0,1
37,ball1,7,1e-07,0,0.1,603,0,5.008852,0
38,ball1,7,1e-07,0,0.2,0,0,0,1
39,ball1,7,1e-07,0,0.4,0,0,0,1
40,ball1,7,1e-07,0.001,0.1,0,0,0,1
41,ball1,7,1e-07,0.001,0.2,0,0,0,1
42,ball1,7,1e-07,0.001,0.4,0,0,0,1
43,ball1,7,1e-07,0.01,0.1,0,0,0,1
44,ball1,7,1e-07,0.01,0.2,0,0,0,1
45,ball1,7,1e-07,0.01,0.4,0,0,0,1
46,ball1,7,0.0001,0,0.1,603,0,4.491666,0
47,ball1,7,0.0001,0,0.2,603,2,5.451457,0
48,ball1,7,0.0001,0,0.4,603,1,6.775026,0
49,ball1,7,0.0001,0.001,0.1,0,0,0,1
50,ball1,7,0.0001,0.001,0.2,0,0,0,1
51,ball1,7,0.0001,0.001,0.4,0,0,0,1
52,ball1,7,0.0001,0.01,0.1,0,0,0,1
53,ball1,7,0.0001,0.01,0.2,0,0,0,1
54,ball1,7,0.0001,0.01,0.4,0,0,0,1
55,ball1,11,1e-10,0,0.1,603,8,7.833056,0
56,ball1,11,1e-10,0,0.2,603,2,6.490785,0
57,ball1,11,1e-10,0,0.4,603,0,5.791332,0
58,ball1,11,1e-10,0.001,0.1,0,0,0,1
59,ball1,11,1e-10,0.001,0.2,603,7,6.115044,0
60,ball1,11,1e-10,0.001,0.4,0,0,0,1
61,ball1,11,1e-10,0.01,0.1,603,4,6.334697,0
62,ball1,11,1e-10,0.01,0.2,0,0,0,1
63,ball1,11,1e-10,0.01,0.4,0,0,0,1
64,ball1,11,1e-07,0,0.1,603,8,9.040069,0
65,ball1,11,1e-07,0,0.2,603,2,6.624196,0
66,ball1,11,1e-07,0,0.4,603,0,5.936666,0
67,ball1,11,1e-07,0.001,0.1,0,0,0,1
68,ball1,11,1e-07,0.001,0.2,603,9,5.990055,0
69,ball1,11,1e-07,0.001,0.4,0,0,0,1
70,ball1,11,1e-07,0.01,0.1,603,5,6.024865,0
71,ball1,11,1e-07,0.01,0.2,0,0,0,1
72,ball1,11,1e-07,0.01,0.4,0,0,0,1
73,ball1,11,0.0001,0,0.1,603,8,7.511952,0
74,ball1,11,0.0001,0,0.2,603,2,6.375432,0
75,ball1,11,0.0001,0,0.4,603,0,5.780846,0
76,ball1,11,0.0001,0.001,0.1,0,0,0,1
77,ball1,11,0.0001,0.001,0.2,603,7,5.28169,0
78,ball1,11,0.0001,0.001,0.4,0,0,0,1
79,ball1,11,0.0001,0.01,0.1,603,4,5.830853,0
80,ball1,11,0.0001,0.01,0.2,603,8,5.805478,0
81,ball1,11,0.0001,0.01,0.4,0,0,0,1
82,ball1,15,1e-10,0,0.1,603,10,7.093539,0
83,ball1,15,1e-10,0,0.2,603,8,7.15886,0
84,ball1,15,1e-10,0,0.4,603,3,8.060944,0
85,ball1,15,1e-10,0.001,0.1,603,7,7.368043,0
86,ball1,15,1e-10,0.001,0.2,603,5,7.105612,0
87,ball1,15,1e-10,0.001,0.4,603,2,6.652575,0
88,ball1,15,1e-10,0.01,0.1,603,5,6.912801,0
89,ball1,15,1e-10,0.01,0.2,603,6,6.654337,0
90,ball1,15,1e-10,0.01,0.4,603,3,7.04416,0
91,ball1,15,1e-07,0,0.1,603,10,7.303889,0
92,ball1,15,1e-07,0,0.2,603,8,6.625437,0
93,ball1,15,1e-07,0,0.4,603,3,7.847282,0
94,ball1,15,1e-07,0.001,0.1,603,7,6.558123,0
95,ball1,15,1e-07,0.001,0.2,603,5,6.467961,0
96,ball1,15,1e-07,0.001,0.4,603,2,6.637579,0
97,ball1,15,1e-07,0.01,0.1,603,5,6.684571,0
98,ball1,15,1e-07,0.01,0.2,603,5,6.000017,0
99,ball1,15,1e-07,0.01,0.4,603,3,6.552051,0
100,ball1,15,0.0001,0,0.1,603,10,6.8389,0
101,ball1,15,0.0001,0,0.2,603,8,6.831081,0
102,ball1,15,0.0001,0,0.4,603,3,7.944444,0
103,ball1,15,0.0001,0.001,0.1,603,5,6.634257,0
104,ball1,15,0.0001,0.001,0.2,603,5,6.747104,0
105,ball1,15,0.0001,0.001,0.4,603,2,6.479348,0
106,ball1,15,0.0001,0.01,0.1,603,5,7.035717,0
107,ball1,15,0.0001,0.01,0.2,603,5,6.684943,0
108,ball1,15,0.0001,0.01,0.4,603,3,6.402934,0
109,ball2,3,1e-10,0,0.1,106,5,2.568152,0
110,ball2,3,1e-10,0,0.2,106,6,2.490841,0
111,ball2,3,1e-10,0,0.4,106,5,2.259974,0
112,ball2,3,1e-10,0.001,0.1,106,6,2.102015,0
113,ball2,3,1e-10,0.001,0.2,106,7,2.010715,0
114,ball2,3,1e-10,0.001,0.4,106,7,2.084277,0
115,ball2,3,1e-10,0.01,0.1,106,7,2.190511,0
116,ball2,3,1e-10,0.01,0.2,106,7,2.308204,0
117,ball2,3,1e-10,0.01,0.4,106,6,2.230478,0
118,ball2,3,1e-07,0,0.1,106,5,2.321422,0
119,ball2,3,1e-07,0,0.2,106,5,2.260149,0
120,ball2,3,1e-07,0,0.4,106,5,2.30176,0
121,ball2,3,1e-07,0.001,0.1,106,5,2.159341,0
122,ball2,3,1e-07,0.001,0.2,106,7,2.002453,0
123,ball2,3,1e-07,0.001,0.4,106,6,2.106893,0
124,ball2,3,1e-07,0.01,0.1,106,7,2.02601,0
125,ball2,3,1e-07,0.01,0.2,106,7,2.036788,0
126,ball2,3,1e-07,0.01,0.4,106,8,1.929108,0
127,ball2,3,0.0001,0,0.1,106,6,2.455305,0
128,ball2,3,0.0001,0,0.2,109,5,2.342854,0
129,ball2,3,0.0001,0,0.4,106,5,2.273239,0
130,ball2,3,0.0001,0.001,0.1,108,7,2.130422,0
131,ball2,3,0.0001,0.001,0.2,106,6,2.495097,0
132,ball2,3,0.0001,0.001,0.4,106,6,2.17404,0
133,ball2,3,0.0001,0.01,0.1,106,6,2.160521,0
134,ball2,3,0.0001,0.01,0.2,106,7,1.996405,0
135,ball2,3,0.0001,0.01,0.4,106,7,2.101174,0
136,ball2,7,1e-10,0,0.1,106,6,2.340407,0
137,ball2,7,1e-10,0,0.2,106,6,2.115728,0
138,ball2,7,1e-10,0,0.4,106,3,2.500254,0
139,ball2,7,1e-10,0.001,0.1,106,6,2.073889,0
140,ball2,7,1e-10,0.001,0.2,106,3,2.456106,0
141,ball2,7,1e-10,0.001,0.4,106,6,2.126251,0
142,ball2,7,1e-10,0.01,0.1,106,6,2.099777,0
143,ball2,7,1e-10,0.01,0.2,106,5,2.198124,0
144,ball2,7,1e-10,0.01,0.4,106,5,2.246578,0
145,ball2,7,1e-07,0,0.1,106,6,2.344526,0
146,ball2,7,1e-07,0,0.2,106,6,2.104696,0
147,ball2,7,1e-07,0,0.4,106,3,2.500854,0
148,ball2,7,1e-07,0.001,0.1,106,6,2.093222,0
149,ball2,7,1e-07,0.001,0.2,106,3,2.460272,0
150,ball2,7,1e-07,0.001,0.4,106,6,2.217371,0
151,ball2,7,1e-07,0.01,0.1,106,6,2.057055,0
152,ball2,7,1e-07,0.01,0.2,106,5,2.336146,0
153,ball2,7,1e-07,0.01,0.4,106,5,2.283393,0
154,ball2,7,0.0001,0,0.1,106,6,2.397493,0
155,ball2,7,0.0001,0,0.2,106,4,2.489255,0
156,ball2,7,0.0001,0,0.4,106,3,2.527241,0
157,ball2,7,0.0001,0.001,0.1,106,4,2.430021,0
158,ball2,7,0.0001,0.001,0.2,106,4,2.404933,0
159,ball2,7,0.0001,0.001,0.4,106,5,2.283535,0
160,ball2,7,0.0001,0.01,0.1,106,6,2.196994,0
161,ball2,7,0.0001,0.01,0.2,106,6,2.05972,0
162,ball2,7,0.0001,0.01,0.4,106,5,2.219274,0
163,ball2,11,1e-10,0,0.1,106,9,2.068347,0
164,ball2,11,1e-10,0,0.2,106,9,2.142187,0
165,ball2,11,1e-10,0,0.4,106,9,2.214598,0
166,ball2,11,1e-10,0.001,0.1,107,9,2.18885,0
